,state,job_title,company,job_description,avg
13,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
14,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
15,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
16,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
17,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
18,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
19,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
20,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
21,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
22,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
23,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
24,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
25,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
26,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
27,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
28,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
29,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
30,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
31,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
32,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
33,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
34,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
35,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
36,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
37,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
38,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
39,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
40,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
41,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
42,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
43,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
44,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
45,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
46,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
47,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
48,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
49,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
50,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
51,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
52,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
53,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
54,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
55,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
56,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
57,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
58,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
59,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
60,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
61,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
62,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
63,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
64,NSW,Airport Services Agent 9 months contract,        Qatar Airways,"            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",87500.0
65,NSW,Airport Manager ,        Avis Budget Group,"            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",87500.0
67,NSW,Storepeople Stock Inventory,        JB Hi-Fi,            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...,87500.0
69,NSW,Full,        Trusty Tailz,"            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",46800.0
71,Nan,Minesite Cleaner ,        Spotless,            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...,87500.0
72,NSW,Student Administration Officer,        University of Wollongong,"            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",87500.0
73,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
74,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
75,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
76,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
77,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
78,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
79,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
80,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
81,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
82,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
83,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
84,NSW,Airport Services Agent 9 months contract,        Qatar Airways,"            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",87500.0
85,NSW,Airport Manager ,        Avis Budget Group,"            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",87500.0
87,NSW,Storepeople Stock Inventory,        JB Hi-Fi,            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...,87500.0
89,NSW,Full,        Trusty Tailz,"            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",46800.0
91,Nan,Minesite Cleaner ,        Spotless,            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...,87500.0
92,NSW,Student Administration Officer,        University of Wollongong,"            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",87500.0
93,NSW,Junior Data Analyst,        SECORA,"            Junior Data Analyst. The Junior Data Analyst will; The Junior Data Analyst will undertake in depth evaluation and verification of data, ensuring information is...",77500.0
94,NSW,Machine Learning,        See-Mode Technologies,"            Experience in computer vision, medical image analysis, and machine learning. Strong programming skills in Python or C++....",87500.0
95,NSW,Data Scientist,        Freelancer.com,"            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",87500.0
96,NSW,BUSINESS INTELLIGENCE ANALYST,        Torrens University Australia,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
97,QLD,Data Scientist/Analyst Programmer,        CareerHub,"Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",75000.0
98,NSW,Business Intelligence Analyst,        Laureate Education,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
99,NSW,Data Scientist,        Nearmap - AU,"            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",87500.0
100,NSW,"Consumer Research Data Analyst, ANZ",        Mintel Group,            Consumer insights analyst of survey data:. Regularly field data requests and other research and statistics-related queries from Mintel consultants and business...,87500.0
101,NSW,Business Intelligence Data Modeller and ETL,        GWF,"            You will be joining the Central Analytics & Business Intelligence function that deliver solutions by designing, developing, supporting, and maintaining robust...",87500.0
102,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
103,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
104,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
105,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
106,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
107,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
108,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
109,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
110,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
111,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
112,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
113,NSW,Airport Services Agent 9 months contract,        Qatar Airways,"            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",87500.0
114,NSW,Airport Manager ,        Avis Budget Group,"            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",87500.0
116,NSW,Storepeople Stock Inventory,        JB Hi-Fi,            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...,87500.0
118,NSW,Full,        Trusty Tailz,"            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",46800.0
120,Nan,Minesite Cleaner ,        Spotless,            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...,87500.0
121,NSW,Student Administration Officer,        University of Wollongong,"            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",87500.0
122,NSW,Junior Data Analyst,        SECORA,"            Junior Data Analyst. The Junior Data Analyst will; The Junior Data Analyst will undertake in depth evaluation and verification of data, ensuring information is...",77500.0
123,NSW,Machine Learning,        See-Mode Technologies,"            Experience in computer vision, medical image analysis, and machine learning. Strong programming skills in Python or C++....",87500.0
124,NSW,Data Scientist,        Freelancer.com,"            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",87500.0
125,NSW,BUSINESS INTELLIGENCE ANALYST,        Torrens University Australia,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
126,QLD,Data Scientist/Analyst Programmer,        CareerHub,"Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",75000.0
127,NSW,Business Intelligence Analyst,        Laureate Education,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
128,NSW,Data Scientist,        Nearmap - AU,"            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",87500.0
129,NSW,"Consumer Research Data Analyst, ANZ",        Mintel Group,            Consumer insights analyst of survey data:. Regularly field data requests and other research and statistics-related queries from Mintel consultants and business...,87500.0
130,NSW,Business Intelligence Data Modeller and ETL,        GWF,"            You will be joining the Central Analytics & Business Intelligence function that deliver solutions by designing, developing, supporting, and maintaining robust...",87500.0
131,NSW,Supply Chain & Procurement Business Analyst,        ISS,Business analysis using multiple data sources to explore and agree a baseline and promote procurement savings....,87500.0
132,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
133,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
134,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
135,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
136,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
137,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
138,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
139,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
140,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
141,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
142,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
143,NSW,Airport Services Agent 9 months contract,        Qatar Airways,"            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",87500.0
144,NSW,Airport Manager ,        Avis Budget Group,"            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",87500.0
146,NSW,Storepeople Stock Inventory,        JB Hi-Fi,            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...,87500.0
148,NSW,Full,        Trusty Tailz,"            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",46800.0
150,Nan,Minesite Cleaner ,        Spotless,            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...,87500.0
151,NSW,Student Administration Officer,        University of Wollongong,"            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",87500.0
152,NSW,Junior Data Analyst,        SECORA,"            Junior Data Analyst. The Junior Data Analyst will; The Junior Data Analyst will undertake in depth evaluation and verification of data, ensuring information is...",77500.0
153,NSW,Machine Learning,        See-Mode Technologies,"            Experience in computer vision, medical image analysis, and machine learning. Strong programming skills in Python or C++....",87500.0
154,NSW,Data Scientist,        Freelancer.com,"            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",87500.0
155,NSW,BUSINESS INTELLIGENCE ANALYST,        Torrens University Australia,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
156,QLD,Data Scientist/Analyst Programmer,        CareerHub,"Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",75000.0
157,NSW,Business Intelligence Analyst,        Laureate Education,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
158,NSW,Data Scientist,        Nearmap - AU,"            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",87500.0
159,NSW,"Consumer Research Data Analyst, ANZ",        Mintel Group,            Consumer insights analyst of survey data:. Regularly field data requests and other research and statistics-related queries from Mintel consultants and business...,87500.0
160,NSW,Business Intelligence Data Modeller and ETL,        GWF,"            You will be joining the Central Analytics & Business Intelligence function that deliver solutions by designing, developing, supporting, and maintaining robust...",87500.0
161,NSW,Supply Chain & Procurement Business Analyst,        ISS,Business analysis using multiple data sources to explore and agree a baseline and promote procurement savings....,87500.0
162,NSW,Business AnalystCards & Payment ,        IBM,Business Analyst(Cards & Payment - 1 years fixed term hire - Sydney. We are currently recruiting Cards and Payments specialist - Business Analyst for a one year...,82110.0
163,VIC,Medical Scientist Grade 1,        Peter MacCallum Cancer Centre,"            RX1 - SCIENTIST GR 1 YR 1. Medical Scientists & Other. Peter Mac is one of a handful of integrated cancer research, education and treatment centres in the world...",87500.0
164,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
165,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
166,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
167,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
168,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
169,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
170,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
171,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
172,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
173,NSW,Provisional Fellow,        NSW Health Service,"            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",87500.0
174,VIC, Technology Solutions Professional ,        Microsoft,"            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",87500.0
175,NSW,Airport Services Agent 9 months contract,        Qatar Airways,"            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",87500.0
176,NSW,Airport Manager ,        Avis Budget Group,"            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",87500.0
178,NSW,Storepeople Stock Inventory,        JB Hi-Fi,            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...,87500.0
180,NSW,Full,        Trusty Tailz,"            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",46800.0
182,Nan,Minesite Cleaner ,        Spotless,            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...,87500.0
183,NSW,Student Administration Officer,        University of Wollongong,"            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",87500.0
184,NSW,Junior Data Analyst,        SECORA,"            Junior Data Analyst. The Junior Data Analyst will; The Junior Data Analyst will undertake in depth evaluation and verification of data, ensuring information is...",77500.0
185,NSW,Machine Learning,        See-Mode Technologies,"            Experience in computer vision, medical image analysis, and machine learning. Strong programming skills in Python or C++....",87500.0
186,NSW,Data Scientist,        Freelancer.com,"            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",87500.0
187,NSW,BUSINESS INTELLIGENCE ANALYST,        Torrens University Australia,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
188,QLD,Data Scientist/Analyst Programmer,        CareerHub,"Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",75000.0
189,NSW,Business Intelligence Analyst,        Laureate Education,            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...,87500.0
190,NSW,Data Scientist,        Nearmap - AU,"            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",87500.0
191,NSW,"Consumer Research Data Analyst, ANZ",        Mintel Group,            Consumer insights analyst of survey data:. Regularly field data requests and other research and statistics-related queries from Mintel consultants and business...,87500.0
192,NSW,Business Intelligence Data Modeller and ETL,        GWF,"            You will be joining the Central Analytics & Business Intelligence function that deliver solutions by designing, developing, supporting, and maintaining robust...",87500.0
193,NSW,Supply Chain & Procurement Business Analyst,        ISS,Business analysis using multiple data sources to explore and agree a baseline and promote procurement savings....,87500.0
194,NSW,Business AnalystCards & Payment ,        IBM,Business Analyst(Cards & Payment - 1 years fixed term hire - Sydney. We are currently recruiting Cards and Payments specialist - Business Analyst for a one year...,82110.0
