,city,state,job_title,company,salary,job_description,job_type,salary_category,date
2820,Sydney Central Business District NSW,Nan,Business Intelligence Analyst,"

        Laureate Education",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,3 days ago
2821,Sydney Central Business District NSW,Nan,BUSINESS INTELLIGENCE ANALYST,"

        Torrens University Australia",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,4 days ago
2822,Sydney NSW,Nan,"APS6, Intelligence Analyst, Sydney","
        Australian Criminal Intelligence Commission (ACIC)","
                $64,501 - $75,731 a year","
Intelligence Analysts work closely with other intelligence professionals, operational teams and external partner agencies, to ensure that intelligence outputs...",a,0,3 days ago
2823,Sydney NSW,Nan,Senior Data Scientist,"

        Amazon.com",NA,"
            Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",a,0,2 days ago
2824,Brisbane QLD,Nan,Data Scientist / Analyst,"

        Queensland Rail","
                $91,435 a year","
            Our newly created position known internally as the Condition Analyst sits within Network Assessment Management and is responsible for proving in depth analysis...",a,0,11 days ago
2825,Sydney NSW,Nan,"Agile Business Analyst - AI, Machine Learning, Innovation -...","
        Clear Recruitment","
                $750 a day","
            An understanding of Artificial Intelligence and Machine Learning, or experience working on cool innovation products....",a,0,13 days ago
2826,Fortitude Valley QLD,Nan,Data Scientist/Analyst Programmer,"
        CareerHub","
                $70,000 - $80,000 a year","
Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",a,0,22 days ago
2827,Sydney NSW,Nan,Data Scientist,"

        Freelancer.com","
                $65,000 - $110,000 a year","
            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",a,0,5 days ago
2828,Barangaroo NSW,Nan,Data Scientist,"
        Nearmap - AU",NA,"
            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",a,0,10 days ago
2829,Sydney Central Business District NSW,Nan,Business Intelligence Analyst,"

        Laureate Education",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,3 days ago
2830,Sydney Central Business District NSW,Nan,BUSINESS INTELLIGENCE ANALYST,"

        Torrens University Australia",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,4 days ago
2831,Sydney NSW,Nan,"APS6, Intelligence Analyst, Sydney","
        Australian Criminal Intelligence Commission (ACIC)","
                $64,501 - $75,731 a year","
Intelligence Analysts work closely with other intelligence professionals, operational teams and external partner agencies, to ensure that intelligence outputs...",a,0,3 days ago
2832,Sydney NSW,Nan,Senior Data Scientist,"

        Amazon.com",NA,"
            Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",a,0,2 days ago
2833,Brisbane QLD,Nan,Data Scientist / Analyst,"

        Queensland Rail","
                $91,435 a year","
            Our newly created position known internally as the Condition Analyst sits within Network Assessment Management and is responsible for proving in depth analysis...",a,0,11 days ago
2834,Sydney NSW,Nan,"Agile Business Analyst - AI, Machine Learning, Innovation -...","
        Clear Recruitment","
                $750 a day","
            An understanding of Artificial Intelligence and Machine Learning, or experience working on cool innovation products....",a,0,13 days ago
2835,Fortitude Valley QLD,Nan,Data Scientist/Analyst Programmer,"
        CareerHub","
                $70,000 - $80,000 a year","
Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",a,0,22 days ago
2836,Sydney NSW,Nan,Data Scientist,"

        Freelancer.com","
                $65,000 - $110,000 a year","
            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",a,0,5 days ago
2837,Barangaroo NSW,Nan,Data Scientist,"
        Nearmap - AU",NA,"
            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",a,0,10 days ago
2838,Sydney Central Business District NSW,Nan,Business Intelligence Analyst,"

        Laureate Education",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,3 days ago
2839,Sydney Central Business District NSW,Nan,BUSINESS INTELLIGENCE ANALYST,"

        Torrens University Australia",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,4 days ago
2840,Sydney NSW,Nan,"APS6, Intelligence Analyst, Sydney","
        Australian Criminal Intelligence Commission (ACIC)","
                $64,501 - $75,731 a year","
Intelligence Analysts work closely with other intelligence professionals, operational teams and external partner agencies, to ensure that intelligence outputs...",a,0,3 days ago
2841,Sydney NSW,Nan,Senior Data Scientist,"

        Amazon.com",NA,"
            Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",a,0,2 days ago
2842,Brisbane QLD,Nan,Data Scientist / Analyst,"

        Queensland Rail","
                $91,435 a year","
            Our newly created position known internally as the Condition Analyst sits within Network Assessment Management and is responsible for proving in depth analysis...",a,0,11 days ago
2843,Sydney NSW,Nan,"Agile Business Analyst - AI, Machine Learning, Innovation -...","
        Clear Recruitment","
                $750 a day","
            An understanding of Artificial Intelligence and Machine Learning, or experience working on cool innovation products....",a,0,13 days ago
2844,Fortitude Valley QLD,Nan,Data Scientist/Analyst Programmer,"
        CareerHub","
                $70,000 - $80,000 a year","
Machine Learning methodologies. Programming - (C#, Python, Java, Pearl, Shell script, SQL, Matlab and similar)....",a,0,22 days ago
2845,Sydney NSW,Nan,Data Scientist,"

        Freelancer.com","
                $65,000 - $110,000 a year","
            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",a,0,5 days ago
2846,Barangaroo NSW,Nan,Data Scientist,"
        Nearmap - AU",NA,"
            At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",a,0,10 days ago
2847,Sydney Central Business District NSW,Nan,Business Intelligence Analyst,"

        Laureate Education",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,3 days ago
2848,Sydney Central Business District NSW,Nan,BUSINESS INTELLIGENCE ANALYST,"

        Torrens University Australia",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",a,0,4 days ago
