,age,gender,amount,fraud,es_transportation,es_health,es_hyper,es_food,es_wellnessandbeauty,es_fashion,es_hotelservices,es_sportsandtoys,es_barsandrestaurants,es_home,es_tech,es_contents,es_otherservices,es_travel,es_leisure
218509,4,M,44.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279607,3,M,50.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
464728,4,M,18.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
498980,6,F,48.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48517,2,F,30.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51897,2,M,30.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190622,2,M,6.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97566,2,M,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537222,4,M,38.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25139,1,M,21.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345276,2,F,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514791,5,M,71.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277999,1,F,10.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268629,2,F,28.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257200,2,F,75.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
425737,1,M,9.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259433,4,M,40.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265547,4,M,1.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176394,4,F,4.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131881,4,F,29.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247532,1,F,28.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320991,2,M,6.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205378,5,M,6.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114085,2,M,37.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251595,2,M,8.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32704,2,F,26.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77763,4,F,5.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274662,3,F,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171367,2,F,2.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398668,6,F,28.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73392,4,F,41.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248088,3,F,33.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314070,3,M,45.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564848,2,F,94.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
315093,3,F,21.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474216,2,F,3.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553588,1,F,42.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284787,4,F,27.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506107,4,M,9.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230519,3,F,17.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140209,2,M,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188363,4,M,18.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303,3,F,39.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492318,4,F,19.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294204,2,F,47.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48199,4,F,12.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577164,2,F,2.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70451,1,F,32.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537601,2,M,27.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533998,2,M,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394423,1,M,7.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342254,1,F,52.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81232,3,F,6.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144277,3,F,14.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307495,3,F,21.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161892,2,M,62.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213695,3,F,22.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191731,3,M,32.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122675,5,F,57.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74940,3,F,3.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541883,2,F,50.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327682,3,F,59.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201021,3,M,4.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500860,4,M,37.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204232,4,F,45.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369322,5,M,34.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398533,5,F,69.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
294868,2,M,11.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283007,1,M,31.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13946,1,M,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587192,6,M,83.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
386165,4,F,26.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38468,4,M,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336727,1,F,26.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302027,3,F,26.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520580,0,F,28.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111723,4,M,61.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491276,3,M,4.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315494,3,M,62.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45872,3,M,22.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496982,2,F,88.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277340,2,M,11.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3571,6,M,24.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336305,5,F,125.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
236960,4,F,10.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277835,3,M,35.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378171,2,M,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463515,4,F,20.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437687,2,F,37.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95436,3,M,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559509,2,F,10.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190350,3,M,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438110,2,F,51.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344296,0,M,39.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31765,2,F,94.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231640,3,M,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285909,1,M,8.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251865,2,F,34.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
536252,4,M,21.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440579,3,F,10.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517387,2,M,36.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305093,3,M,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348581,2,F,34.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587266,4,F,18.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514893,4,M,64.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123761,5,F,16.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134545,4,M,236.1474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
557542,3,F,55.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395295,2,M,36.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410067,3,F,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157271,3,M,30.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156332,1,M,33.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146050,5,F,30.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554920,4,M,10.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146061,2,M,35.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72818,3,F,49.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513114,2,F,42.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125821,4,F,69.47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365016,2,M,8.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277935,2,F,79.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85139,2,M,13.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492543,2,M,24.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580992,2,M,8.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579169,2,M,57.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
496745,5,F,81.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182712,4,F,58.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528028,1,F,22.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247815,5,F,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127286,1,M,1.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197020,3,F,32.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292790,2,F,30.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218885,3,M,34.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478947,3,M,15.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197739,6,F,46.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352359,2,F,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316919,1,M,11.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237661,1,F,8.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400569,4,M,42.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26433,2,M,8.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551493,5,F,32.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234656,3,M,31.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147360,4,F,45.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464942,3,F,22.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592761,3,M,41.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471226,2,F,52.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221177,2,M,32.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422812,4,M,54.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195454,5,M,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32350,1,M,39.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118558,2,M,11.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524301,4,M,132.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225463,2,F,2.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104368,3,F,12.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167775,2,M,27.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587339,3,F,31.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
377247,1,F,44.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245976,3,F,46.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418281,1,F,36.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97219,2,M,34.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25919,2,M,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590023,4,M,13.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491610,2,F,32.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199160,2,F,13.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542580,4,M,28.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340057,2,F,24.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162720,4,F,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458680,1,F,136.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
461916,5,F,23.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
347868,6,M,45.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
244604,3,F,11.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447570,2,M,5.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413458,1,M,39.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475111,2,F,53.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
528368,5,F,37.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338063,2,M,40.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514432,3,F,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462245,1,F,15.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449045,6,M,14.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15899,4,M,38.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187468,4,M,87.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107845,3,M,2.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538715,2,M,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349553,2,M,20.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590128,2,F,17.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66282,4,M,44.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391849,5,M,209.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196553,2,M,44.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481800,4,M,46.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584663,3,F,41.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167947,5,F,33.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
315048,4,M,7.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426858,3,M,53.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13716,2,F,9.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158807,6,F,27.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73110,4,M,46.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371392,2,F,32.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583491,2,M,27.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513726,4,M,47.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482601,5,M,66.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54248,5,F,33.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428274,2,F,37.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360341,2,M,32.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363377,2,F,32.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
329702,1,F,20.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222739,1,M,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544488,4,M,24.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387437,3,F,25.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513023,2,F,13.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568781,3,M,18.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586526,2,M,8.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
411012,5,F,45.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320905,2,F,29.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447144,2,M,33.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517795,6,F,45.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
